State,District,Population,Confirmed,Deceased,Recovered,Tested,Vaccinated1,Vaccinated2
AN,Nicobars,36842,0,0,0,0,25394,20313
AN,North and Middle Andaman,105597,0,0,0,0,78945,59522
AN,South Andaman,238142,0,0,0,0,189662,120322
AP,Anantapur,4083315,157843,1093,156699,787085,2690082,1611476
AP,Chittoor,4170468,246935,1947,244144,780322,2832987,1807873
AP,East Godavari,5151549,293836,1290,291610,944746,3532220,1990578
AP,Guntur,4889230,178068,1237,176629,833823,3440118,1891773
AP,Krishna,4529009,119348,1430,117130,782232,2971604,1914927
AP,Kurnool,4046601,124142,853,123264,867361,2672759,1290419
AP,Prakasam,3392764,138482,1124,136989,697340,2321031,1521177
AP,S.P.S. Nellore,2966082,146388,1053,144919,682964,2143402,1403240
AP,Srikakulam,2699471,123109,786,122136,670899,1630248,974734
AP,Visakhapatnam,4288113,157737,1127,156492,744983,2999432,1864960
AP,Vizianagaram,2342868,82967,672,82231,531433,1393491,996097
AP,West Godavari,3934782,179077,1117,177680,793098,2525317,1778807
AP,Y.S.R. Kadapa,2884524,115623,644,114904,671761,1824032,1328711
AR,Anjaw,21089,1068,3,1065,2845,11695,7957
AR,Capital Complex,21089,0,0,0,115210,0,0
AR,Changlang,147951,3807,22,3780,23861,88857,55361
AR,East Kameng,78413,1094,0,1094,7489,22931,15646
AR,East Siang,99019,3206,17,3183,21867,54001,39434
AR,Kamle,22256,512,0,512,1385,6946,3874
AR,Kra Daadi,22256,270,0,270,3218,6275,3272
AR,Kurung Kumey,89717,511,1,510,4201,9121,5601
AR,Lepa Rada,89717,874,3,871,6747,13328,10176
AR,Lohit,145538,2885,26,2851,14945,31120,22003
AR,Longding,60000,752,2,749,10342,19259,7826
AR,Lower Dibang Valley,53986,2426,11,2397,12169,32639,22089
AR,Lower Siang,80597,738,8,730,7070,16565,9990
AR,Lower Subansiri,82839,3036,15,3015,10564,26916,18827
AR,Namsai,95950,2124,17,2102,19987,63539,47104
AR,Pakke Kessang,95950,453,0,453,3327,8004,4998
AR,Papum Pare,176385,18316,98,18212,41960,141168,100258
AR,Shi Yomi,13310,262,0,261,2169,6910,5663
AR,Siang,31920,411,3,408,4270,14408,9068
AR,Tawang,49950,2577,20,2533,14224,29553,23287
AR,Tirap,111997,1109,5,1102,14657,31565,21200
AR,Upper Dibang Valley,7948,337,2,335,1910,4156,2603
AR,Upper Siang,35289,1016,1,1015,6564,18594,13671
AR,Upper Subansiri,83205,1958,6,1952,6217,24842,16390
AR,West Kameng,87013,3545,14,3518,28155,55710,40321
AR,West Siang,112272,1868,6,1856,13192,33773,27867
AS,Baksa,953773,0,0,0,0,553967,136574
AS,Barpeta,1693190,0,0,0,0,1095048,448006
AS,Biswanath,612491,0,0,0,0,456088,213437
AS,Bongaigaon,732639,0,0,0,0,493242,183782
AS,Cachar,1736319,0,0,0,0,1101266,402535
AS,Charaideo,1736319,0,0,0,0,309125,111219
AS,Chirang,481818,0,0,0,0,288696,102397
AS,Darrang,908090,0,0,0,0,596783,183724
AS,Dhemaji,688077,0,0,0,0,431792,184251
AS,Dhubri,1948632,0,0,0,0,945264,229696
AS,Dibrugarh,1327748,0,0,0,301657,914640,430800
AS,Dima Hasao,213529,0,0,0,0,116318,62593
AS,Goalpara,1008959,0,0,0,0,662016,195521
AS,Golaghat,1058674,0,0,0,0,711564,306745
AS,Hailakandi,659260,0,0,0,0,422295,146888
AS,Hojai,931218,0,0,0,0,602504,274035
AS,Jorhat,1091295,0,0,0,0,649267,297724
AS,Kamrup,1517202,0,0,0,0,1079092,409628
