State,Date,Confirmed,Deceased,Recovered,Tested,Vaccinated1,Vaccinated2
AN,2020-03-26,1,0,0,0,0,0
AN,2020-03-27,6,0,0,0,0,0
AN,2020-03-28,9,0,0,0,0,0
AN,2020-03-29,9,0,0,0,0,0
AN,2020-03-30,10,0,0,0,0,0
AN,2020-03-31,10,0,0,0,0,0
AN,2020-04-01,10,0,0,0,0,0
AN,2020-04-02,10,0,0,0,0,0
AN,2020-04-03,10,0,0,0,0,0
AN,2020-04-04,10,0,0,0,0,0
AN,2020-04-05,10,0,0,0,0,0
AN,2020-04-06,10,0,0,0,0,0
AN,2020-04-07,10,0,0,0,0,0
AN,2020-04-08,11,0,0,0,0,0
AN,2020-04-09,11,0,10,0,0,0
AN,2020-04-10,11,0,10,0,0,0
AN,2020-04-11,11,0,10,0,0,0
AN,2020-04-12,11,0,10,0,0,0
AN,2020-04-13,11,0,10,0,0,0
AN,2020-04-14,11,0,10,0,0,0
AN,2020-04-15,11,0,10,0,0,0
AN,2020-04-16,11,0,11,0,0,0
AN,2020-04-17,12,0,11,1403,0,0
AN,2020-04-18,14,0,11,1403,0,0
AN,2020-04-19,15,0,11,1403,0,0
AN,2020-04-20,16,0,11,1403,0,0
AN,2020-04-21,17,0,11,1403,0,0
AN,2020-04-22,18,0,11,1403,0,0
AN,2020-04-23,22,0,11,1403,0,0
AN,2020-04-24,29,0,11,2679,0,0
AN,2020-04-25,33,0,11,2679,0,0
AN,2020-04-26,33,0,11,2679,0,0
AN,2020-04-27,33,0,11,2848,0,0
AN,2020-04-28,33,0,15,2848,0,0
AN,2020-04-29,33,0,15,2848,0,0
AN,2020-04-30,33,0,16,2848,0,0
AN,2020-05-01,33,0,16,3754,0,0
AN,2020-05-02,33,0,26,3754,0,0
AN,2020-05-03,33,0,32,3754,0,0
AN,2020-05-04,33,0,32,3754,0,0
AN,2020-05-05,33,0,32,3754,0,0
AN,2020-05-06,33,0,32,3754,0,0
AN,2020-05-07,33,0,33,3754,0,0
AN,2020-05-08,33,0,33,3754,0,0
AN,2020-05-09,33,0,33,3754,0,0
AN,2020-05-10,33,0,33,3754,0,0
AN,2020-05-11,33,0,33,3754,0,0
AN,2020-05-12,33,0,33,3754,0,0
AN,2020-05-13,33,0,33,3754,0,0
AN,2020-05-14,33,0,33,3754,0,0
AN,2020-05-15,33,0,33,3754,0,0
AN,2020-05-16,33,0,33,6677,0,0
AN,2020-05-17,33,0,33,6677,0,0
AN,2020-05-18,33,0,33,6677,0,0
AN,2020-05-19,33,0,33,6965,0,0
AN,2020-05-20,33,0,33,7082,0,0
AN,2020-05-21,33,0,33,7167,0,0
AN,2020-05-22,33,0,33,7263,0,0
AN,2020-05-23,33,0,33,7327,0,0
AN,2020-05-24,33,0,33,7327,0,0
AN,2020-05-25,33,0,33,7363,0,0
AN,2020-05-26,33,0,33,7448,0,0
AN,2020-05-27,33,0,33,7499,0,0
AN,2020-05-28,33,0,33,7519,0,0
AN,2020-05-29,33,0,33,7567,0,0
AN,2020-05-30,33,0,33,7567,0,0
AN,2020-05-31,33,0,33,7706,0,0
AN,2020-06-01,33,0,33,7805,0,0
AN,2020-06-02,33,0,33,8086,0,0
AN,2020-06-03,33,0,33,8295,0,0
AN,2020-06-04,33,0,33,8413,0,0
AN,2020-06-05,33,0,33,8694,0,0
AN,2020-06-06,33,0,33,9037,0,0
AN,2020-06-07,33,0,33,9242,0,0
AN,2020-06-08,33,0,33,9341,0,0
AN,2020-06-09,34,0,33,9859,0,0
AN,2020-06-10,35,0,33,10010,0,0
AN,2020-06-11,38,0,33,10226,0,0
AN,2020-06-12,38,0,33,10697,0,0
AN,2020-06-13,38,0,33,10955,0,0
AN,2020-06-14,40,0,33,11356,0,0
AN,2020-06-15,41,0,33,11518,0,0
AN,2020-06-16,44,0,33,11809,0,0
AN,2020-06-17,44,0,33,12239,0,0
AN,2020-06-18,45,0,35,12622,0,0
AN,2020-06-19,47,0,35,12930,0,0
AN,2020-06-20,47,0,35,13320,0,0
AN,2020-06-21,48,0,37,13434,0,0
AN,2020-06-22,48,0,37,13511,0,0
AN,2020-06-23,50,0,40,13723,0,0
AN,2020-06-24,56,0,41,13994,0,0
AN,2020-06-25,58,0,41,14277,0,0
AN,2020-06-26,72,0,43,14583,0,0
AN,2020-06-27,72,0,43,14851,0,0
AN,2020-06-28,83,0,45,15094,0,0
AN,2020-06-29,90,0,45,15410,0,0
AN,2020-06-30,97,0,45,15709,0,0
AN,2020-07-01,100,0,50,15982,0,0
AN,2020-07-02,109,0,51,16278,0,0
AN,2020-07-03,116,0,54,16626,0,0
AN,2020-07-04,119,0,66,16832,0,0
AN,2020-07-05,125,0,72,16909,0,0
AN,2020-07-06,141,0,74,17095,0,0
AN,2020-07-07,147,0,74,17381,0,0
AN,2020-07-08,149,0,74,17643,0,0
AN,2020-07-09,156,0,83,17852,0,0
AN,2020-07-10,156,0,92,18046,0,0
AN,2020-07-11,156,0,92,18315,0,0
AN,2020-07-12,163,0,100,18447,0,0
AN,2020-07-13,166,0,109,18609,0,0
AN,2020-07-14,171,0,129,18884,0,0
AN,2020-07-15,176,0,130,19061,0,0
AN,2020-07-16,180,0,133,19227,0,0
AN,2020-07-17,184,0,142,19421,0,0
AN,2020-07-18,188,0,145,19671,0,0
AN,2020-07-19,203,0,145,19904,0,0
AN,2020-07-20,207,0,151,20301,0,0
AN,2020-07-21,212,0,159,20642,0,0
AN,2020-07-22,221,0,163,21043,0,0
AN,2020-07-23,240,0,170,21310,0,0
AN,2020-07-24,259,0,174,21743,0,0
AN,2020-07-25,290,0,176,21965,0,0
AN,2020-07-26,318,0,180,22049,0,0
AN,2020-07-27,338,1,192,22548,0,0
AN,2020-07-28,363,1,196,22925,0,0
AN,2020-07-29,428,2,201,23217,0,0
AN,2020-07-30,470,3,201,23615,0,0
AN,2020-07-31,548,5,214,24038,0,0
AN,2020-08-01,636,7,226,24308,0,0
AN,2020-08-02,734,8,242,24580,0,0
AN,2020-08-03,830,10,263,25034,0,0
AN,2020-08-04,928,12,277,25492,0,0
AN,2020-08-05,1027,14,326,25826,0,0
AN,2020-08-06,1123,16,355,26516,0,0
AN,2020-08-07,1222,19,425,26915,0,0
AN,2020-08-08,1351,20,500,27073,0,0
AN,2020-08-09,1490,20,648,27103,0,0
AN,2020-08-10,1625,20,709,27346,0,0
AN,2020-08-11,1764,21,749,27455,0,0
AN,2020-08-12,1900,21,829,27744,0,0
AN,2020-08-13,2037,22,924,27973,0,0
AN,2020-08-14,2186,24,1032,28129,0,0
AN,2020-08-15,2306,24,1128,28209,0,0
AN,2020-08-16,2399,28,1226,28229,0,0
AN,2020-08-17,2445,29,1325,28672,0,0
AN,2020-08-18,2529,30,1421,28937,0,0
AN,2020-08-19,2604,30,1529,29303,0,0
AN,2020-08-20,2680,31,1638,29487,0,0
AN,2020-08-21,2747,32,1744,29573,0,0
AN,2020-08-22,2808,32,1853,29888,0,0
AN,2020-08-23,2860,33,1963,30278,0,0
AN,2020-08-24,2904,35,2092,30513,0,0
AN,2020-08-25,2945,37,2231,31082,0,0
AN,2020-08-26,2985,41,2309,31646,0,0
AN,2020-08-27,3018,42,2374,31830,0,0
AN,2020-08-28,3050,42,2444,32100,0,0
AN,2020-08-29,3081,44,2519,32407,0,0
AN,2020-08-30,3104,45,2586,32674,0,0
AN,2020-08-31,3132,46,2647,33485,0,0
AN,2020-09-01,3160,46,2714,35104,0,0
AN,2020-09-02,3186,47,2758,36136,0,0
AN,2020-09-03,3223,48,2823,37075,0,0
AN,2020-09-04,3257,49,2863,37825,0,0
AN,2020-09-05,3292,50,2904,38574,0,0
AN,2020-09-06,3332,50,2951,39205,0,0
AN,2020-09-07,3359,50,2997,39995,0,0
AN,2020-09-08,3392,50,3035,41039,0,0
AN,2020-09-09,3426,51,3078,41776,0,0
AN,2020-09-10,3465,51,3121,42792,0,0
AN,2020-09-11,3494,51,3157,43680,0,0
AN,2020-09-12,3521,51,3202,44570,0,0
AN,2020-09-13,3546,51,3243,45279,0,0
AN,2020-09-14,3557,52,3278,45987,0,0
AN,2020-09-15,3574,52,3318,46823,0,0
AN,2020-09-16,3593,52,3345,47794,0,0
AN,2020-09-17,3604,52,3378,48861,0,0
AN,2020-09-18,3631,52,3414,50035,0,0
AN,2020-09-19,3644,52,3436,50681,0,0
AN,2020-09-20,3651,52,3451,51262,0,0
AN,2020-09-21,3673,52,3469,52220,0,0
AN,2020-09-22,3691,52,3479,52845,0,0
AN,2020-09-23,3712,52,3494,53591,0,0
AN,2020-09-24,3744,52,3503,52992,0,0
AN,2020-09-25,3759,52,3528,55169,0,0
AN,2020-09-26,3774,52,3551,56059,0,0
AN,2020-09-27,3794,53,3553,56661,0,0
AN,2020-09-28,3803,53,3582,57343,0,0
AN,2020-09-29,3821,53,3587,58135,0,0
AN,2020-09-30,3835,53,3608,58763,0,0
AN,2020-10-01,3848,53,3623,59676,0,0
AN,2020-10-02,3858,53,3631,60437,0,0
AN,2020-10-03,3868,53,3642,61231,0,0
AN,2020-10-04,3884,53,3649,62103,0,0
AN,2020-10-05,3899,54,3659,63009,0,0
AN,2020-10-06,3912,54,3678,63790,0,0
AN,2020-10-07,3935,54,3696,65111,0,0
AN,2020-10-08,3952,55,3707,66244,0,0
AN,2020-10-09,3976,55,3724,67332,0,0
AN,2020-10-10,3992,55,3744,68464,0,0
AN,2020-10-11,4005,55,3764,69146,0,0
AN,2020-10-12,4023,55,3770,69932,0,0
AN,2020-10-13,4036,55,3782,70780,0,0
AN,2020-10-14,4046,55,3796,71624,0,0
AN,2020-10-15,4062,55,3817,72525,0,0
AN,2020-10-16,4072,56,3831,73363,0,0
AN,2020-10-17,4083,56,3848,74277,0,0
AN,2020-10-18,4108,56,3868,75030,0,0
AN,2020-10-19,4126,56,3892,75977,0,0
AN,2020-10-20,4141,56,3902,77200,0,0
AN,2020-10-21,4168,56,3913,78303,0,0
AN,2020-10-22,4184,57,3937,79301,0,0
AN,2020-10-23,4207,58,3945,80768,0,0
AN,2020-10-24,4225,58,3968,81880,0,0
AN,2020-10-25,4245,58,3983,82626,0,0
AN,2020-10-26,4253,58,3997,83115,0,0
AN,2020-10-27,4274,58,4019,84308,0,0
AN,2020-10-28,4289,58,4039,85378,0,0
AN,2020-10-29,4305,59,4054,86715,0,0
AN,2020-10-30,4317,59,4076,87789,0,0
AN,2020-10-31,4332,59,4100,88453,0,0
AN,2020-11-01,4340,60,4112,89559,0,0
AN,2020-11-02,4352,60,4132,90901,0,0
AN,2020-11-03,4372,60,4153,92249,0,0
AN,2020-11-04,4389,60,4163,93406,0,0
AN,2020-11-05,4403,60,4175,94639,0,0
AN,2020-11-06,4420,60,4194,96214,0,0
AN,2020-11-07,4441,60,4206,97603,0,0
AN,2020-11-08,4450,60,4221,98812,0,0
AN,2020-11-09,4463,60,4239,100025,0,0
AN,2020-11-10,4477,60,4255,101226,0,0
AN,2020-11-11,4494,60,4267,102433,0,0
AN,2020-11-12,4507,61,4282,103599,0,0
AN,2020-11-13,4518,61,4304,104785,0,0
AN,2020-11-14,4527,61,4315,105699,0,0
AN,2020-11-15,4536,61,4330,106734,0,0
AN,2020-11-16,4557,61,4346,108080,0,0
AN,2020-11-17,4574,61,4363,109646,0,0
AN,2020-11-18,4593,61,4378,111166,0,0
AN,2020-11-19,4604,61,4398,112792,0,0
AN,2020-11-20,4617,61,4408,114392,0,0
AN,2020-11-21,4631,61,4428,115968,0,0
AN,2020-11-22,4641,61,4440,117093,0,0
AN,2020-11-23,4656,61,4453,118654,0,0
AN,2020-11-24,4667,61,4464,120324,0,0
AN,2020-11-25,4677,61,4479,121931,0,0
AN,2020-11-26,4682,61,4491,123165,0,0
AN,2020-11-27,4689,61,4508,124832,0,0
AN,2020-11-28,4698,61,4518,126331,0,0
AN,2020-11-29,4704,61,4537,127912,0,0
AN,2020-11-30,4710,61,4550,129389,0,0
AN,2020-12-01,4718,61,4566,131080,0,0
AN,2020-12-02,4723,61,4583,132784,0,0
AN,2020-12-03,4729,61,4597,134355,0,0
AN,2020-12-04,4742,61,4611,135952,0,0
AN,2020-12-05,4747,61,4616,137648,0,0
AN,2020-12-06,4758,61,4624,139326,0,0
AN,2020-12-07,4773,61,4631,140961,0,0
AN,2020-12-08,4778,61,4647,142667,0,0
AN,2020-12-09,4783,61,4647,144401,0,0
AN,2020-12-10,4791,61,4652,146143,0,0
AN,2020-12-11,4798,61,4659,147806,0,0
