State,Date,delta7_Confirmed,delta7_Deceased,delta7_Recovered,delta7_Vaccinated1,delta7_Vaccinated2
AN,2020-03-26,1,0,0,0,0
AN,2020-03-27,6,0,0,0,0
AN,2020-03-28,9,0,0,0,0
AN,2020-03-29,9,0,0,0,0
AN,2020-03-30,10,0,0,0,0
AN,2020-03-31,10,0,0,0,0
AN,2020-04-01,10,0,0,0,0
AN,2020-04-02,9,0,0,0,0
AN,2020-04-03,4,0,0,0,0
AN,2020-04-04,1,0,0,0,0
AN,2020-04-05,1,0,0,0,0
AN,2020-04-08,1,0,0,0,0
AN,2020-04-09,1,0,10,0,0
AN,2020-04-10,1,0,10,0,0
AN,2020-04-11,1,0,10,0,0
AN,2020-04-12,1,0,10,0,0
AN,2020-04-13,1,0,10,0,0
AN,2020-04-14,1,0,10,0,0
AN,2020-04-15,0,0,10,0,0
AN,2020-04-16,0,0,1,0,0
AN,2020-04-17,1,0,1,0,0
AN,2020-04-18,3,0,1,0,0
AN,2020-04-19,4,0,1,0,0
AN,2020-04-20,5,0,1,0,0
AN,2020-04-21,6,0,1,0,0
AN,2020-04-22,7,0,1,0,0
AN,2020-04-23,11,0,0,0,0
AN,2020-04-24,17,0,0,0,0
AN,2020-04-25,19,0,0,0,0
AN,2020-04-26,18,0,0,0,0
AN,2020-04-27,17,0,0,0,0
AN,2020-04-28,16,0,4,0,0
AN,2020-04-29,15,0,4,0,0
AN,2020-04-30,11,0,5,0,0
AN,2020-05-01,4,0,5,0,0
AN,2020-05-02,0,0,15,0,0
AN,2020-05-03,0,0,21,0,0
AN,2020-05-04,0,0,21,0,0
AN,2020-05-05,0,0,17,0,0
AN,2020-05-06,0,0,17,0,0
AN,2020-05-07,0,0,17,0,0
AN,2020-05-08,0,0,17,0,0
AN,2020-05-09,0,0,7,0,0
AN,2020-05-10,0,0,1,0,0
AN,2020-05-11,0,0,1,0,0
AN,2020-05-12,0,0,1,0,0
AN,2020-05-13,0,0,1,0,0
AN,2020-05-16,0,0,0,0,0
AN,2020-05-17,0,0,0,0,0
AN,2020-05-18,0,0,0,0,0
AN,2020-05-19,0,0,0,0,0
AN,2020-05-20,0,0,0,0,0
AN,2020-05-21,0,0,0,0,0
AN,2020-05-22,0,0,0,0,0
AN,2020-05-23,0,0,0,0,0
AN,2020-05-24,0,0,0,0,0
AN,2020-05-25,0,0,0,0,0
AN,2020-05-26,0,0,0,0,0
AN,2020-05-27,0,0,0,0,0
AN,2020-05-28,0,0,0,0,0
AN,2020-05-29,0,0,0,0,0
AN,2020-05-30,0,0,0,0,0
AN,2020-05-31,0,0,0,0,0
AN,2020-06-01,0,0,0,0,0
AN,2020-06-02,0,0,0,0,0
AN,2020-06-03,0,0,0,0,0
AN,2020-06-04,0,0,0,0,0
AN,2020-06-05,0,0,0,0,0
AN,2020-06-06,0,0,0,0,0
AN,2020-06-07,0,0,0,0,0
AN,2020-06-08,0,0,0,0,0
AN,2020-06-09,1,0,0,0,0
AN,2020-06-10,2,0,0,0,0
AN,2020-06-11,5,0,0,0,0
AN,2020-06-12,5,0,0,0,0
AN,2020-06-13,5,0,0,0,0
AN,2020-06-14,7,0,0,0,0
AN,2020-06-15,8,0,0,0,0
